Numero di iscrizione all'albo,Denominazione,Data iscrizione,Numero delibera,Data cessazione,Municipalità,Attività,Scopo / intenti,Indirizzo,Email,Sito web,Presidente,Data domanda,Protocollo domanda,Telefono,Fiscale codice,Iva partita
19,ASSOCIAZIONE CULTURALE GLI ERRANTI,06-10-92,168,,LIDO PELLESTRINA,Cultura,Attività ricreative e sportive,Via della Fonte 31 30175 - Marghera - Venezia,segreteria@calciomarghera.it,www.calciomarghera.it,Luciano Cosmo,13-02-92,PG/1992/18362,41935539,2782350272,
20,A.S. KARATE CSKS BURANO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,"Promuovere attività teatrali, cinematografiche",Riviera San Nicolò 62/B 30126 - Lido - Venezia,,,Ballarin Luigi,12-02-92,PG/1992/17887,,2547770277,2547770277
21,ASSOCIAZIONE CULTURALE INVITO ALLA SCRITTURA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Praticare attività di carattere ricreativo, sportivo",Via Santa Caterina 5 30142 - Burano - Venezia,,,Lazzarini Achille,12-02-92,PG/1992/17940,,94009980270,
22,CIRCOLO IPPICO VENEZIANO SAN MARCO,06-10-92,168,,LIDO PELLESTRINA,Sport,"Favorire la realizzazione di corsi di scrittura, scambio di esperienze letterarie ed artistiche",San Polo 1882 30125 - Venezia,,,Caponi Matilde,12-02-92,PG/1992/18036,415242411,94041480271,0
23,LEGA REGIONALE VENETA PER GLI SCACCHI,06-10-92,168,13-12-17,VENEZIA MURANO BURANO,Sport,,Via Colombo 41 - Ca Bianca 30126 - Lido - Venezia,,,De Stefano Teodoro,12-02-92,PG/1992/18050,415265162,80012030278,2762410278
24,COMITATO DEL CAMPEGGIO,06-10-92,,04-10-04,MESTRE CARPENEDO,Cultura,,,,,,,,,,
25,SOCIETÀ CSC SACCAFISOLA,06-10-92,,20-12-99,,,,,,,,,,,,
26,CENTRO CULTURALE P.M. KOLBE,06-10-92,,,MESTRE CARPENEDO,Cultura,,,,,,,,,,
27,POLISPORTIVA SAN GIROLAMO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Promuovere iniziative artistiche e culturali,Via Aleardo Aleardi 156 30172 - Mestre - Venezia,cckolbe.mestre@gmail.com,www.centrokolbemestre.it,Nanni Enrico,11-02-92,PG/1992/16744,415314717,82017080274,1892210277
28,GRUPPO ANZIANI AUTOGESTITO CASTELLO EST,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Praticare insegnamento sportivo,Cannaregio 3006 30121 - Venezia,,,Balbi Giampaolo,11-02-92,PG/1992/17096,,94007920278,2406450276
29,UNIONE SPORTIVA CASTELLO,06-10-92,168,17-10-05,VENEZIA MURANO BURANO,Sport,Combattere forme di emarginazione attraverso attività ricreative e culturali,Castello 986/E 30122 - Venezia,,,Fachinetti Roberto,11-02-92,PG/1992/17059,415239264,94013260271,
30,UNIONE SPORTIVA PELLESTRINA,06-10-92,,,LIDO PELLESTRINA,Sport,,,,,,,,,,
31,SOCIETÀ DANTE ALIGHIERI COMITATO DI VENEZIA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Diffondere il gioco del calcio,Sestiere Zennari c/o Centro Sportivo Comunale Don Olinto Marella 30126 - Pellestrina - Venezia,uispellestrina@virgilio.it,,Chellin Graziano,11-02-92,PG/1992/16738,,94004310275,1725260275
32,PARROCCHIA SANTA MARIA IMMACOLATA E SAN VIGILIO ZE,06-10-92,168,,CHIRIGNAGO ZELARINO,Solidarietà / Promozione sociale,Diffondere la lingua e la cultura italiana nel mondo,San Marco 1897 c/o Ateneo Veneto 30124 - Venezia,mamoli@unive.it,,Zorzi Mamoli Rosella,11-02-92,PG/1992/16873,412759556,90174710278,
33,ASSOCIAZIONE MOVIMENTO FEDERALISTA EUROPEO,06-10-92,168,,MARGHERA,,,Via Castellana 70 30174 - Mestre - Venezia,,,Memo Daniele,21-04-92,PG/1992/53899,41907480,90017980278,636690273
34,ASSOCIAZIONE AGAPE - ASSISTENZA HANDICAPPATI,06-10-92,168,,FAVARO VENETO,Solidarietà / Promozione sociale,,Via Antonio Generale Cantore 8 30175 - Marghera - Venezia,,,Signore Giangiorgio,21-04-92,PG/1992/53956,41930386,,0
35,ASSOCIAZIONE CULTURALE ARCHITETTI VENEZIANI,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Assistenza handicap,Piazzale Bernardino Zendrini 14 30173 - Favaro Veneto - Venezia,agapeit@libero.it,www.associazioneagape.org,Gabriele Bagagiolo,11-02-92,PG/1992/17423,41900404,1492350275,
36,UILDM UNIONE ITALIANA LOTTA ALLA DISTROFIA MUSCOLARE VENEZIA ONLUS,06-10-92,168,,MARGHERA,Solidarietà / Promozione sociale,Valutare i problemi della laguna e delle isole di Venezia,Castello 3471 30122 - Venezia,,,Cirpi Luciano,11-02-92,PG/1992/17396,415239720,,2566020273
37,VOGA RIVIERA DEL BRENTA,06-10-92,168,,MARGHERA,Sport,"Promuovere ricerca, prevenzione e terapie della distrofia muscolare",Via Felice Orsini  n.11 30175 - Marghera,uildmve@uildmve.it,www.uildmve.org,Matteo Pagano,10-02-92,PG/1992/16605,41935778,80011140276,
38,SOCIETÀ CANOTTIERI TREPORTI,06-10-92,168,31-03-14,LIDO PELLESTRINA,Sport,Attività relative alla voga,Via Moranzani 52 30175 - Marghera - Venezia,vogarivierabrenta@tiscali.it,,Bregantin Gaetano,10-02-92,PG/1992/16582,415470384,94009170278,
39,GRUPPO ANZIANI AUTOGESTITO LIBERTÀ,06-10-92,,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,,,,,,,,,,
40,ASSOCIAZIONE TEATRALE COMPAGNIA DEL DRAGO,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Combattere le forme di emarginazione attraverso attività culturali,Calle Briati 10 30141 - Murano - Venezia,,,Follador Alberto,10-02-92,PG/1992/16517,,94009560270,
41,ASSOCIAZIONE POESIA 2 OTTOBRE,06-10-92,168,,LIDO PELLESTRINA,Cultura,Attività teatrale,Cannaregio 4057 30121 - Venezia,,,Ballistreri Giovanni,10-02-92,PG/1992/16494,,94015550273,
42,ASSOCIAZIONE VENEZIA SEVEN RUGBY,06-10-92,168,,VENEZIA MURANO BURANO,Sport,"Diffondere la poesia, promuovere manifestazione giornata mondiale della poesia",Via Marco Polo 3/E 30126 - Lido - Venezia,,,Simi De Burgis Domenico,05-02-92,PG/1992/14792,415260550,94016810270,0
43,CUS VENEZIA ASD,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Diffondere il gioco del rugby,San Marco 312 30124 - Venezia,,,Gerardi Alessandro,05-02-92,PG/1992/15047,415200237,94017710271,
44,GRUPPO ANZIANI AUTOGESTITO N. 1 CDQ PIAVE 1866,06-10-92,168,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Pratica e diffusione attività sportive,Dorsoduro 2407 30123 - Venezia,INFO@CUSVENEZIA.IT,www.cusvenezia.it,Massimo Zanotto,05-02-92,PG/1992/15009,415200144,919840272,919840272
45,SOCIETÀ A.C. SPALTI ZELARINO,06-10-92,168,,CHIRIGNAGO ZELARINO,Sport,Combattere le forme di emarginazione con attività ricreative - culturali ecc.,Via Andrea Costa 8 30172 - Mestre - Venezia,,,Marras Francesco,04-02-92,PG/1992/14293,,90009580276,
46,SOCIETÀ U.S. MESTRINA,06-10-92,168,,MESTRE CARPENEDO,Sport,Gioco del calcio,Piazzetta Giordano Bruno 24 30174 - Mestre - Venezia,,,Michielon Lorenzo e Vecchiato Flavio,04-02-92,PG/1992/14133,41986716,2236060279,2236060279
47,A.S.D. UNION BOXE MESTRE 1948,06-10-92,168,,MESTRE CARPENEDO,Sport,Gioco del calcio,Piazzetta Giordano Bruno 24 30172 - Mestre - Venezia,,,Favaretto Lucia,04-02-92,PG/1992/14128,41986716,2556680276,2556680276
48,SOCIETÀ VENEZIANA DI MICOLOGIA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Attività pugilistica,Via Olimpia 14 30174 - Mestre - Venezia,unionboxemestre1947@gmail.com,,Luciano Favaro,04-02-92,PG/1992/14043,3331187255,2355950276,2355950276
49,ASSOCIAZIONE ITALIANA CULTURA E SPORT AICS,06-10-92,168,,MESTRE CARPENEDO,Cultura,Raccolta di specie fungine per la costituzione e gestione dellerbario micologico del Museo civico di storia naturale,Santa Croce 1730 c/o Museo civico 30135 - Venezia,,,Robich Giovanni,04-02-92,PG/1992/14417,,94012600279,
50,ASSOCIAZIONE CLUB ALPINO ITALIANO - SEZIONE DI MESTRE,06-10-92,168,,MESTRE CARPENEDO,Sport,"Svolge attività di carattere culturale, sportiva ecc.",Via dello Squero 50 30172 - Mestre - Venezia,venezia@aics.it,www.aicsdivenezia.it,Manassei Claudio,05-02-92,PG/1992/14582,41961951,90008110273,
51,UNIVERSITÀ DEL TEMPO LIBERO DI MESTRE UTL,06-10-92,168,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Pratica attività alpinistiche,Via Fiume 47/a 30171 - Mestre - Venezia,segreteria@caimestre.it,,Alessandro Bonaldo,05-02-92,PG/1992/14771,41938198,746510270,1567450273
52,SOCIETÀ VIRTUS BASKET FAVARO VENETO,06-10-92,168,25-07-05,FAVARO VENETO,Sport,"Promozione culturale mediante corsi, viaggi socio culturali ecc.",Via Parco Ponci 3 30174 - Mestre - Venezia,utlmestre@libero.it,www.utlmestre.it,Cornaviera Daniela,05-02-92,PG/1992/14884,41984529,90016260276,
53,REALE SOCIETÀ CANOTTIERI BUCINTORO  VENEZIA A.S.D.,06-10-92,,,VENEZIA MURANO BURANO,Sport,,,,,,,,,,
54,"ASSOCIAZIONE CULTURALE ""EL LEON IN MOLECA"" AMBIENT",06-10-92,168,,MESTRE CARPENEDO,Cultura,Attività di voga e vela,Dorsoduro - Zattere 263 30123 - Venezia,segreteria@bucintoro.org,www.bucintoro.org,,06-02-92,PG/1992/15618,415205630,80011310275,2478380278
55,BOCCIOFILA SAN GIULIANO A.S.D.,06-10-92,168,,MESTRE CARPENEDO,Sport,Iniziative ricreative e turistiche,Via Silvio Camuffo 60 30174 - Mestre - Venezia,leonvenezia@libero.it,,DEste Leonello,06-02-92,PG/1992/15287,41952545,90063570270,0
56,SOCIETÀ SPORTIVA COMPAGNIA ARCIERI DEL LEON,06-10-92,168,,LIDO PELLESTRINA,Sport,Attività relative al gioco delle bocce,Via Samuele Romanin 5 30173 - Mestre - Venezia,sangiulianobocce@katamail.com,,Gorghetto Giorgio,03-02-92,PG/1992/13749,415312764,90009470270,
57,ASSOCIAZIONE CENTRO STUDI LOVE DANCE,06-10-92,168,13-10-08,LIDO PELLESTRINA,Cultura,Praticare e diffondere lo sport del tiro con larco,Via Malamocco 16 30126 - Lido - Venezia,arcieridelleon@virgilio.it,www.aricierileon.it,Maurizio Zennaro,03-02-92,PG/1992/13643,412760223,94005230274,
58,ASSOCIAZIONE SPORTIVA MALAMOCCO,06-10-92,,,LIDO PELLESTRINA,Sport,,,,,,,,,,
59,GRUPPO EMERGENZA BURANO,06-10-92,168,,VENEZIA MURANO BURANO,Assistenza,Attività sportive e gioco del calcio,Rio Terrà 38 30126 - Lido - Venezia,,,Bullado Silvano,03-02-92,PG/1992/13667,41770102,94012450279,
60,PARROCCHIA SAN GIROLAMO,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Espletamento di tutti i servizi di soccorso e trasporto infermi dalla isole di Mazzorbo, Torcello, Burano",San Martino Sinistra 4 30142 - Burano - Venezia,,,Vio Maurizio,03-02-92,PG/1992/13699,41735111,,2541190274
61,CIRCOLO ANSPI DON BOSCO,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,,Cannaregio 3022 30121 - Venezia,,,Pieretti Agostino,30-01-92,PG/1992/12086,41717459,80007340278,
62,ASSOCIAZIONE CULTURALE VENEZIA 2000,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Formazione ed educazione civile e cristiana di ragazzi e adulti,Cannaregio 3022 30121 - Venezia,,,Pieretti Agostino,30-01-92,PG/1992/12087,41717459,94015490272,
63,FEDERAZIONE ITALIANA DONNE NELLE ARTI PROFESSIONALAFFARI FIDAPA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Attività culturali, ricreative ecc.",Cannaregio 3974 30121 - Venezia,,,De Stefano Emanuela,30-01-92,PG/1992/12663,,94019100273,
64,ASSOCIAZIONE MARGHERA VIVA,06-10-92,168,13-10-08,MARGHERA,Cultura,Promuovere e sostenere iniziative delle donne che operano nel campo delle arti,Cannaregio 4829 30121 - Venezia,,,Fuser Lidia Mandich,31-01-92,PG/1992/12877,415237989,94022380276,0
65,ASSOCIAZIONE CIVICA CULTURALE PRO CAMPALTO VENEZIA,06-10-92,,,FAVARO VENETO,Cultura,,,,,,,,,,
66,SOCIETÀ CANOTTIERI LAGUNARI SERENISSIMA,06-10-92,168,,LIDO PELLESTRINA,Sport,,Via Triburtina 3 30173 - Favaro Veneto - Venezia,presidente@civicaprocampalto.191.it,,Checchin Giuseppe,30-01-92,PG/1992/12014,41900200,3045780271,
67,SOCIETÀ SPORTIVA JUDO CLUB SPINEA,06-10-92,168,12-06-17,CHIRIGNAGO ZELARINO,Sport,Promuovere e praticare il canottaggio e la voga,Riviera San Nicolò 30126 - Lido - Venezia,,,Carnevale Sergio,17-04-92,PG/1992/52819,,,0
68,CIRCOLO RICREATIVO BOCCIOFILO AL CAMPANON,06-10-92,,,CHIRIGNAGO ZELARINO,Sport,,,,,,,,,,
69,ASSOCIAZIONE GRUPPO ANZIANI AUTOGESTITO CDQ N. 16,06-10-92,168,,CHIRIGNAGO ZELARINO,Solidarietà / Promozione sociale,Gioco delle bocce,Piazza San Giorgio 8 - Parrocchia 30174 - Mestre - Venezia,,,Polesel Giuseppe,13-02-92,PG/1992/18421,41916983,90031620272,
70,ASSOCIAZIONE GRUPPO CULTURALE AMICI DELL'ARTE,06-10-92,168,13-10-08,CHIRIGNAGO ZELARINO,Cultura,"Combattere le forme di emarginazione attraverso attività ricreative, culturali ecc.",Piazza San Giorgio 8 - Parrocchia 30174 - Mestre - Venezia,,,Marcon Eleonora,13-02-92,PG/1992/18425,,90012280278,
71,GRUPPO ANZIANI AUTOGESTITO NUOVA PROPOSTA,06-10-92,,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,,,,,,,,,,
72,ASSOCIAZIONE ORIENTAMENTO,06-10-92,168,,FAVARO VENETO,Sport,"Combattere forme di emarginazione attraverso attività ricreative, culturali e sportive",Via Sergio Gori 8 30174 - Mestre - Venezia,,,Mazzon Stella,13-02-92,PG/1992/18476,,90010570274,
73,ASSOCIAZIONE ITALIANA SCLEROSI MULTIPLA AISM,06-10-92,168,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,"Svolgere attività sportiva, turistica, culturale",Piazza Angelo Pastrello 22 30173 - Favaro Veneto - Venezia,,,Vascon Angelo,13-02-92,PG/1992/18642,,2384160277,2384160277
74,LEGA NAVALE ITALIANA,06-10-92,168,,VENEZIA MURANO BURANO,Tutela dell'ambiente,Favorire il progetto di conoscenza della malattia della sclerosi multipla,Via Perlan 53 30172 - Mestre - Venezia,aismvenezia@aism.it,,Alfonso Elisabetta,13-02-92,PG/1992/18647,41916398,96015150582,
75,ASSOCIAZIONE AGS SERENISSIMA BASKET,06-10-92,168,13-01-14,,Sport,Tutelare lambiente marino e sviluppare iniziative culturali,Fondamenta dellArsenale - Ponte Purgatorio 30122 - Venezia,venezia@leganavale.it,,Cravin Guerrino,14-02-92,PG/1992/19361,415289294,80015500277,
76,SOCIETÀ SPORTIVA AZATO KARATE CLUB,06-10-92,,,LIDO PELLESTRINA,Sport,,,,,,,,,,
77,ASSOCIAZIONE CULTURALE SPORTIVA VOGA VENETA LIDO,06-10-92,168,,LIDO PELLESTRINA,Sport,Praticare attività di karate e body bulding,Via Sandro Gallo 136/B 30126 - Lido - Venezia,,,Lorenzato Mirko,14-02-92,PG/1992/19364,415261231,,0
78,ASSOCIAZIONE DINGO,06-10-92,168,,VENEZIA MURANO BURANO,Tutela delle specie animali,Promuovere la voga,Via Malamocco 82 30126 - Lido - Venezia,vogavenetalido@libero.it,,Cirpi Luciano,14-02-92,PG/1992/19375,41770451,94003360271,
79,GRUPPO ANZIANI AUTOGESTITO N. 2 CDQ PIAVE 1866,06-10-92,168,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Prevenzione atti crudeltà nei confronti degli animali e azioni di soccorso nei loro confronti,Cannaregio 482/B 30121 - Venezia,info@dingovenezia.it,,De Langes Marilena,15-02-92,PG/1992/19780,41715219,94009850275,
80,ASSOCIAZIONE NEO POSTICCIO,06-10-92,168,13-10-08,VENEZIA MURANO BURANO,Cultura,"Combattere forme di emarginazione attraverso attività ricreative, culturali ecc.",Via Andrea Costa 8 30172 - Mestre - Venezia,,,Cortesi Annamaria,11-02-92,PG/1992/16998,41940097,90010180272,
81,A.S.D. BOCCIOFILA SERENISSIMA,06-10-92,,,FAVARO VENETO,Sport,,,,,,,,,,
82,ASSOCIAZIONE SPORTIVA ROLLER CLUB ARTISTICO,06-10-92,168,10-02-03,MESTRE CARPENEDO,Sport,Sviluppo del gioco delle bocce,Via Monte Cervino c/o Centro Sportivo 30173 - Favaro Veneto - Venezia,asd.bocciofila.serenisima@gmil.com,,Rudi Anceschi,11-02-92,PG/1992/17006,41635120,2719720274,
83,ASSOCIAZIONE CULTURALE ESPERTI DI BIOETICA ED ETICA SANITARIA - ACEBES,06-10-92,,,MESTRE CARPENEDO,Cultura,,,,,,,,,,
84,ENTEL ENTE NAZIONALE TEMPO LIBERO,06-10-92,168,,MESTRE CARPENEDO,Cultura,Promuovere una cultura etica e bioetica,Via Andrea Costa 2 30172 - Mestre - Venezia,,,Cavasin Pietro,11-02-92,PG/1992/17119,41951116,,2223760279
85,UNIVERSITÀ POPOLARE MESTRE,06-10-92,168,,MESTRE CARPENEDO,Cultura,"Promuovere atività culturali, turistiche, sportive e del tempo libero",Piazzale Leonardo Da Vinci 8/B2 30172 - Mestre - Venezia,gianni.gobbato@tin.it,,Gobbato Gianni,11-02-92,PG/1992/17132,41976584,90026210279,
86,ASSOCIAZIONE ISTITUTO ITALIANO DI PSICOLOGIA DELLA RELAZIONE UISP PSICOMOTRICITA',06-10-92,168,,CHIRIGNAGO ZELARINO,Sport,"Diffusione della conoscenza letteraria, artistica, scientifica",Corso del Popolo 61 30174 - Mestre - Venezia,info@univpopmestre.net,,Andrighetti Mirto,11-02-92,PG/1992/16777,418020639,82011290275,
87,ASSOCIAZIONE COMBATTENTI E REDUCI,06-10-92,168,,CHIRIGNAGO ZELARINO,Solidarietà / Promozione sociale,Inizative culturali per divulgare la psicomotricità,Via Paolo Veronese 3/A 30174 - Mestre - Venezia,iipr.venezia@alice.it,ww.iipr.it,Vecchiato Mauro,21-04-92,PG/1992/53799,41680465,90041980278,
88,UISP COMITATO TERRITORIALE VENETO APS,06-10-92,168,,MARGHERA,Sport,Glorificazione dei caduti in guerra,Via del Parroco 8 30174 - Mestre - Venezia,,,Spolaor Rino,11-02-92,PG/1992/16765,,,0
89,UISP COMITATO TERRITORIALE VENEZIA APS,06-10-92,168,,MARGHERA,Sport,Pratica sportiva in genere,Via Federico Confalonieri 14 30175 - Marghera - Venezia,veneto@uisp.it,,Rutka Claudia,11-02-92,PG/1992/16713,415380945,90015610273,
90,ASSOCIAZIONE PRO LOCO CA' BALLARIN,06-10-92,168,13-01-14,,Cultura,Pratica sportiva in genere,Via F. Confalonieri 14 30175 - Marghera - Venezia,venezia@uisp.it,,Vianello Davide,11-02-92,PG/1992/16896,,90018700279,3287650273
91,ASSOCIAZIONE RANGERS D'ITALIA SEZIONE DI VENEZIA,06-10-92,,,VENEZIA MURANO BURANO,Tutela dell'ambiente,,,,,,,,,,
92,ASSOCIAZIONE UNIVERSITÀ DELLA TERZA ETÀ DEL CENTRO STORICO DI VENEZIA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Protezione della natura e degli animali e praticare sport equestri,Giudecca - Calle degli Orti 7 30133 - Venezia,venezia@rangersitalia.it,www.rangersitalia.it,Formentello Davide,13-02-92,PG/1992/18669,415233738,80037320282,
93,PATRONATO S.CUORE - CIRCOLO NOI,06-10-92,168,12-05-21,MESTRE CARPENEDO,Solidarietà / Promozione sociale,"Arricchimento culturale, artistiche e sociali",San Marco 4571/C 30124 - Venezia,uniteve@tin.it,,Castellani Giovanni,13-02-92,PG/1992/18714,415225336,94009760276,
94,COORDINAMENTO COMITATI GRUPPI ANZIANI AUTOGESTITI COMUNE DI VENEZIA,06-10-92,,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,,,,,,,,,,
95,SOCIETÀ CANOTTIERI FRANCESCO QUERINI,06-10-92,168,,VENEZIA MURANO BURANO,Sport,"Combattere forme di emarginazione e isolamento attraverso attività ricreative, culturali ecc.",Dorsoduro 3499 30123 - Venezia,,,Gasparini Angelo,13-02-92,PG/1992/18558,412750033,94011640276,
96,ASSOCIAZIONE SPORTIVA DILETTANTISTICA PATTINATORI MARGHERA,06-10-92,168,,MARGHERA,Sport,Pratica della voga e del nuoto,Fondamente 6576/B 30122 - Venezia,,,Baroncini Alfredo,13-02-92,PG/1992/18627,415222039,80010340273,4188820270
97,ASSOCIAZIONE CULTURALE RENATO NARDI,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuovere il pattinaggio a rotelle,Via del Lavoratore 85 30175 - Marghera - Venezia,posta@pattinatorimarghera.it,www.pattinatorimarghera.it,Topan Francesco,13-02-92,PG/1992/18377,41924908,80017270275,0
98,ASSOCIAZIONE SPORTIVA DIPORTO VELICO VENEZIANO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,"Attività culturali, del tempo libero ecc.",Giudecca 432 30133 - Venezia,,,Giordani Luigi,13-02-92,PG/1992/18365,415220667,94009260277,
99,GRUPPO ANZIANI AUTOGESTITO MURANESE,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Promuovere la navigazione da diporto e a vela,"SantElena Porticciolo ""E. De Zottis"" 30132 - Venezia",diveven@tin.it,www.dvv.it,Rusconi Antonio,13-02-92,PG/1992/18273,415231927,80014440277,992569027
